Depth,BD,LOI,C
0,0.266,61.8578,34.02177265
2.5,0.497,19.7368,10.85526316
5,0.647,15.6366,8.600146774
7.5,0.8,13.1582,7.237021014
10,0.768,9.9637,5.480041823
12.5,0.831,7.8498,4.317406143
15,1.066,6.6054,3.632958801
17.5,1.037,5.8128,3.19706499
20,1.194,6.0226,3.312449475
22.5,1.539,6.0621,3.334162246
25,1.41,5.664,3.115195184
27.5,1.102,5.3399,2.936941863
30,1.307,4.5773,2.517517136
32.5,1.251,4.6603,2.56316676
35,1.313,5.0481,2.776457272
37.5,0.986,6.917,3.80433568
40,0.94,11.2089,6.164874552
42.5,0.89,11.2563,6.190968718
45,0.824,11.1443,6.129373677
47.5,0.808,8.9374,4.915585392
50,0.851,3.9451,2.169820499
52.5,1.338,2.9638,1.630098204
55,1.536,2.454,1.349680493
57.5,1.33,1.3346,0.734047542
60,1.598,1.3903,0.764674588
62.5,1.488,1.6607,0.913362226
65,1.554,1.8674,1.02707475
67.5,1.427,1.6461,0.905374469
70,1.548,1.794,0.986717553
72.5,1.403,2.1352,1.174344317
75,1.336,2.196,1.207775151
77.5,0.599,1.2108,0.665929669
80,0,0,0
