Depth,BD,LOI,C
0,0.11,73.6634,40.51488457
2.5,0.176,73.5488,40.45185522
5,0.151,73.0474,40.17607712
7.5,0.268,52.3673,28.80203803
10,0.314,36.6382,20.15101539
12,0.738,16.3552,8.995342648
14,0.737,20.0265,11.01456471
16.5,0.746,13.8189,7.600384451
19,1.055,10.8855,5.987022901
21.5,1.051,8.888,4.888423458
25,1.188,7.4025,4.071364437
27.5,1.263,7.5937,4.176561944
30,1.115,7.626,4.194309214
32.5,1.185,8.104,4.457221304
35,1.241,8.5161,4.683850755
37.5,0.915,7.6619,4.214066692
40,1.288,8.7368,4.80521867
42.5,1.052,8.9869,4.942807031
45,1.561,6.1473,3.380998546
47,1.238,3.9297,2.161325923
50,0,0,0
