Depth,BD,LOI,C
0,0.197,50.4544,27.74993508
2.5,0.096,62.4939,34.37165775
5,0.118,77.9433,42.86882267
7.5,0.208,59.6991,32.83449485
10,0.222,56.8149,31.24816805
12.5,0.159,54.3967,29.91818321
15,0.231,44.1808,24.2994272
17.5,0.199,43.4651,23.90578956
20,0.254,39.4547,21.7000668
22.5,0.439,31.8616,17.52387864
25,0.471,23.8106,13.09584178
27.5,0.614,23.1341,12.7237789
30,0.602,20.5184,11.28512768
32.5,0.607,23.2317,12.77743927
35,0.477,24.38,13.40902397
37.5,0.817,33.7966,18.5881299
40,0.24,42.3149,23.2732091
42.5,0.249,48.0191,26.41051974
45,0.239,51.0344,28.06893375
47.5,0.289,41.9433,23.0688183
50,0.312,29.3186,16.12524616
52.5,0.232,25.6169,14.08930581
55,0.468,18.922,10.40707468
57.5,0.369,26.5597,14.60781946
60,0.403,28.7082,15.78949888
62.5,0.296,30.0538,16.52961182
65,0.377,28.8313,15.85722407
67.5,0.325,26.3966,14.51811644
70,0.346,28.2525,15.53887606
72.5,0.356,28.9774,15.93756352
75,0.282,33.8016,18.59088573
77.5,0.345,23.4384,12.89110764
80,0.567,13.2655,7.296013571
82.5,0.61,9.1586,5.037226682
85,0.666,9.4893,5.219098183
87.5,0.476,16.333,8.983177192
90,0.623,26.4473,14.54603324
92.5,0.5,21.94,12.0669772
95,0.432,15.2072,8.363944086
97.5,0.429,19.4441,10.69425679
100,0.401,21.9691,12.08302719
102.5,0.309,20.8714,11.47928283
105,0.402,24.2567,13.34118509
107.5,0.361,23.3263,12.82944007
110,0.443,18.6021,10.23116671
112.5,0.485,16.3117,8.971456866
115,0.49,12.4358,6.839674797
117.5,0.741,10.0685,5.537653914
120,0.615,11.9072,6.548951049
122.5,0.529,13.2509,7.287979683
125,0.449,14.1206,7.766328848
127.5,0.376,17.4106,9.575816772
130,0.496,16.9195,9.305714679
132.5,0.536,19.4727,10.70997991
135,0.463,17.0551,9.380330601
137.5,0.4,16.0539,8.829665437
140,0.543,15.5333,8.543305515
142.5,0.574,14.6172,8.039465224
145,0.619,12.6315,6.947348704
147.5,0.738,11.8443,6.514370128
150,0.898,7.6861,4.227379767
152.5,0.979,8.0845,4.446450216
155,0.884,5.8337,3.208544514
157.5,0.988,4.8227,2.652467329
160,1.271,2.2994,1.264650488
162.5,1.005,3.4827,1.915509553
165,0.678,4.2669,2.346769098
167,0.548,5.3488,2.941839858
169,0,0,0
