Depth,BD,LOI,C
0,0.07,79.9246,43.95851666
2.5,0.058,83.1076,45.70918635
5,0.115,78.6059,43.23323757
7.5,0.116,82.2151,45.21830291
10,0.143,74.126,40.76932071
12.5,0.132,67.8728,37.33006425
15,0.152,63.2394,34.7816674
17.5,0.193,51.9755,28.58652374
20,0.225,47.8341,26.30874728
22.5,0.309,38.1241,20.96825517
25,0.107,56.8627,31.2745098
27.5,0.131,54.195,29.80725624
30,0.177,44.5621,24.50918079
32.5,0.161,48.7185,26.79519071
35,0.174,44.4592,24.45258621
37.5,0.297,33.4755,18.41154066
40,0.295,31.7289,17.45090338
42.5,0.271,31.1413,17.12770905
45,0.346,29.1245,16.01845494
47.5,0.301,30.9011,16.99559122
50,0.322,29.4169,16.17929774
52.5,0.338,21.001,11.55055206
55,0.292,32.6716,17.96935693
57.5,0.202,53.6191,29.49050989
60,0.187,54.6077,30.0342331
62.5,0.162,54.1132,29.7622727
65,0.221,42.5473,23.40103377
67.5,0.368,25.1113,13.81121995
70,0.467,17.8963,9.842989189
72.5,0.349,32.0173,17.6095409
75,0.392,25.125,13.81875284
77.5,0.408,21.1727,11.64495879
80,0.418,19.0727,10.48998946
82.5,0.548,14.2987,7.864273927
85,0.674,8.963,4.929675085
87.5,0.729,5.7911,3.185125135
90,0.872,4.4824,2.465326839
92.5,0.901,4.1063,2.258454106
95,1.038,4.7738,2.625593602
97.5,0.896,4.828,2.655389908
100,1.083,3.1888,1.753852269
102.5,0.957,3.8429,2.113580566
105,0,0,0
