Depth,BD,LOI,C
0,0.149,67.9615,37.37884946
2.5,0.167,66.6394,36.65167621
5,0.123,70.8744,38.98091934
7.5,0.172,58.6838,32.27611696
10,0.216,46.2948,25.46212566
12.5,0.308,36.7477,20.21122685
15,0.389,25.9321,14.2626322
17.5,0.517,20.5989,11.32940933
20,0.741,18.6329,10.24810933
22.5,0.532,14.8973,8.193515644
25,0.754,13.8666,7.626655038
27.5,0.612,14.2139,7.817623981
30,0.747,13.341,7.337554362
32.5,0.766,12.3889,6.81390685
35,0.667,14.0386,7.721252727
37.5,0.623,12.6059,6.933244871
40,0.657,16.9919,9.345526894
42.5,0.615,12.7144,6.992941387
45,0.579,23.4306,12.88684956
47.5,0.442,25.1324,13.82283105
50,0.234,24.8888,13.68885026
52.5,0.326,24.6452,13.55486946
55,0.321,28.1292,15.47103978
57.5,0.338,24.4982,13.47399532
60,0.323,20.6998,11.38489871
62.5,0.342,20.8384,11.46113929
65,0.413,18.8274,10.35504886
67.5,0.567,10.1249,5.568704799
70,0.648,8.3197,4.575824288
72.5,0.849,5.4323,2.987765
75,0.994,3.2877,1.808223795
77.5,1.121,3.6856,2.02708
80,1.049,4.1254,2.26897
82.5,1.027,4.6826,2.575430284
85,0.915,3.6789,2.023395
87.5,0.938,2.4539,1.349645
90,1.011,2.0109,1.105986196
92.5,1.166,2.1098,1.16039
95,1.098,1.6753,0.921415
97.5,0.99,1.0846,0.596510531
100,1.697,1.3426,0.73843
102.5,1.354,2.2318,1.22749
105,1.76,2.7071,1.488928313
107,0,0,0
