Depth,BD,LOI,C
0,0.178,83.4285,45.88565348
5,0.175,83.8831,46.13570801
10,0.184,70.5467,38.80067384
15,0.355,77.5818,42.67001546
20,0.227,53.1361,29.22485207
25,0.333,27.9712,15.38414259
30,0.571,21.0818,11.59496608
35,0.466,19.7624,10.86932447
40,0.637,34.6345,19.04895525
45,0.22,26.3849,14.51171369
50,0.315,21.6957,11.93265927
55,0.326,22.7922,12.5357161
60,0.44,22.67,12.46847721
65,0.473,20.3758,11.20671082
70,0.578,19.5524,10.75380914
75,0.585,19.1655,10.54102259
80,0.5,18.9641,10.43024482
85,0.742,8.6491,4.757017929
90,0.679,16.0581,8.83193148
95,0,0,0
