Depth,BD,LOI,C
0,0.184,42.4562,23.35088915
2.5,0.262,38.7165,21.29405552
5,0.326,32.3168,17.77422189
7.5,0.445,25.3313,13.93222003
10,0.669,15.6859,8.627218168
12.5,0.544,16.6628,9.164548207
15,0.659,14.9798,8.238878246
17.5,0.906,13.1719,7.244552041
20,0.898,11.364,6.250225836
22.5,1.062,10.7631,5.919709188
25,1.153,7.5022,4.126192541
27.5,1.402,6.7614,3.718752104
30,1.711,3.3606,1.848311667
32.5,1.518,2.7757,1.52662415
35,1.279,1.5308,0.841936632
37.5,1.549,1.8473,1.016002151
40,1.685,1.5038,0.827067669
42.5,1.397,1.7617,0.968947098
45,1.811,1.3597,0.747826526
47.5,1.649,1.8795,1.033732268
50,0,0,0
