Depth,BD,LOI,C
0,0.316,46.8377,25.76075587
2.5,0.472,33.1841,18.25122976
5,0.582,21.5176,11.83470618
7.5,0.814,16.3156,8.973561083
10,1,11.3872,6.262969745
12.5,1.213,10.6396,5.851770691
15,1.38,6.9208,3.806460497
17.5,1.438,6.3486,3.491714034
20,1.449,5.7561,3.165838358
22.5,1.316,6.1367,3.375165856
25,1.137,6.4511,3.548088572
27.5,1.296,5.7686,3.172753408
30,1.408,2.3726,1.30494651
32.5,1.453,2.4011,1.320604952
35,1.451,2.4339,1.338640315
37.5,1.661,3.7364,2.055017106
40,1.825,1.8406,1.012341561
42.5,1.732,2.9196,1.605787206
45,1.593,4.1665,2.291586362
47.5,1.723,3.593,1.976134277
50,1.806,2.9342,1.613805595
52.5,1.757,2.5255,1.389042448
55,1.661,1.1113,0.611190538
57.5,1.768,1.282,0.705088251
60,1.829,1.4139,0.777663368
62.5,1.87,3.0173,1.659532712
65,1.865,1.4223,0.782247183
67.5,0,0,0
