Depth,BD,LOI,C
0,0.169,46.2792,25.45356704
2.5,0.233,35.3873,19.46301689
5,0.228,50.4028,27.72154829
7.5,0.193,44.3383,24.38605472
10,0.348,38.2737,21.05056115
12.5,0.304,36.6457,20.15515424
15,0.305,35.0177,19.25974734
17.5,0.356,30.1383,16.57607152
20,0.491,25.2589,13.8923957
22.5,0.426,18.3012,10.0656353
25,0.734,11.3434,6.238874895
27.5,0.672,11.6006,6.380339479
30,0.963,11.8578,6.521804062
32.5,0.835,10.8285,5.955657929
35,0.874,9.7991,5.389511796
37.5,0.469,15.2235,8.372898538
40,0.584,20.6478,11.35628528
42.5,0.499,20.2153,11.11841095
45,0.529,19.7828,10.88053663
47.5,0.369,16.0462,8.825426191
50,0.938,12.3097,6.770315756
52.5,0.596,19.6804,10.82420812
55,0.394,27.0511,14.87810049
57.5,0.341,26.3168,14.47426031
60,0.428,25.5826,14.07042014
62.5,0.559,22.2424,12.23329635
65,0.517,18.9021,10.39617257
67.5,0.42,16.4824,9.065303877
70,0.574,14.0626,7.734435185
72.5,0.615,14.1367,7.775184625
75,0.593,14.2108,7.815934066
77.5,0.478,14.6907,8.0798777
80,0.663,15.1706,8.343821334
82.5,0.816,14.5726,8.014928522
85,0.504,13.9746,7.686035711
87.5,0.535,13.3864,7.362493213
90,0.691,12.7981,7.038950715
92.5,0.732,10.0433,5.523792544
95,0.918,7.2884,4.008634372
97.5,0.696,6.3473,3.491029835
100,1.076,5.4062,2.973425297
102.5,0.88,4.6841,2.576270198
105,1.003,7.3761,4.056845754
107.5,0.837,4.7858,2.63219965
110,0.839,7.5573,4.156501041
112.5,0.872,9.2122,5.066725979
115,0.9,8.467,4.65682504
117.5,0.835,5.7061,3.138377676
120,1.237,3.3161,1.823841223
122.5,0.997,3.4601,1.903080873
125,1.285,3.2493,1.787094661
127.5,1.08,1.848,1.016407037
130,1.313,2.5977,1.428753343
132.5,0.822,1.7224,0.947306098
135,0.768,1.7268,0.94974
137.5,0.712,1.7276,0.950189155
140,1.402,1.6802,0.924121905
142.5,1.466,1.5361,0.844866314
145,1.509,1.6564,0.91099696
147.5,1.387,2.8188,1.550343249
150,1.557,2.7606,1.518335393
152.5,1.304,2.4081,1.324479541
155,1.495,2.8989,1.594386579
157.5,1.217,2.4824,1.365346671
160,1.589,2.1693,1.193112487
162.5,1.453,1.9919,1.095554273
165,1.46,2.4494,1.347153006
167.5,1.522,2.7679,1.522329043
170,1.496,2.2647,1.245561846
172.5,1.446,2.0583,1.132075472
175,1.4,3.2943,1.811859444
177.5,1.048,3.169,1.742957746
180,1.163,5.1751,2.846320346
182.5,1.08,6.173,3.395176252
185,0.515,12.5136,6.882467956
187.5,0.807,14.8097,8.145357165
190,0.794,13.8601,7.623028766
192.5,0.602,12.5018,6.875970086
195,0.625,13.7925,7.58589161
197.5,0.695,8.0427,4.423494944
200,0.307,9.9018,5.44599018
203,0,0,0
